"","Animal","Animal Family","Taxa"
"1","Cercopithecus_mitis","Cercopithecidae","Monkey"
"2","Chlorocebus_djamdjamensis","Cercopithecidae","Monkey"
"3","Cercopithecus_erythrogaster","Cercopithecidae","Monkey"
"4","Erythrocebus_patas","Cercopithecidae","Monkey"
"5","Gorilla_beringei","Hominidae","Ape"
"6","Gorilla_gorilla","Hominidae","Ape"
"7","Heliosciurus_rufobrachium","Sciuridae","Rodent"
"8","Loxodonta_africana","Elephantidae","Elephant"
"9","Loxodonta_cyclotis","Elephantidae","Elephant"
"10","Pan_troglodytes","Hominidae","Ape"
"11","Papio_anubis","Cercopithecidae","Monkey"
"12","Papio_cynocephalus","Cercopithecidae","Monkey"
"13","Afropavo_congensis","Phasianidae","Bird"
"14","Agapornis_swindernianus","Psittacidae","Bird"
"15","Agelastes_niger","Numididae","Bird"
"16","Amblyospiza_albifrons","Ploceidae","Bird"
"17","Eurillas_ansorgei","Pycnonotidae","Bird"
"18","Eurillas_curvirostris","Pycnonotidae","Bird"
"19","Stelgidillas_gracilirostris","Pycnonotidae","Bird"
"20","Eurillas_gracilis","Pycnonotidae","Bird"
"21","Eurillas_latirostris","Pycnonotidae","Bird"
"22","Arizelocichla_tephrolaema","Pycnonotidae","Bird"
"23","Eurillas_virens","Pycnonotidae","Bird"
"24","Anthreptes_aurantius","Nectariniidae","Bird"
"25","Hedydipna_collaris","Nectariniidae","Bird"
"26","Anthreptes_seimundi","Nectariniidae","Bird"
"27","Anthreptes_gabonicus","Nectariniidae","Bird"
"28","Apalis_rufogularis","Cisticolidae","Bird"
"29","Aplopelia_larvata","Columbidae","Bird"
"30","Arizelocichla_masukuensis","Pycnonotidae","Bird"
"31","Arizelocichla_montana","Pycnonotidae","Bird"
"32","Atimastillas_flavicollis","Pycnonotidae","Bird"
"33","Atimastillas_flavigula","Pycnonotidae","Bird"
"34","Baeopogon_clamans","Pycnonotidae","Bird"
"35","Baeopogon_indicator","Pycnonotidae","Bird"
"36","Epomophorus_gambianus","Pteropodidae","Bat"
"37","Buccanodon_duchaillui","Lybiidae","Bird"
"38","Bycanistes_albotibialis","Bucerotidae","Bird"
"39","Bycanistes_sharpii","Bucerotidae","Bird"
"40","Bycanistes_fistulator","Bucerotidae","Bird"
"41","Bycanistes_subcylindricus","Bucerotidae","Bird"
"42","Calyptocichla_serinus","Pycnonotidae","Bird"
"43","Cephalophus_callipygus","Bovidae","Ungulate"
"44","Cephalophus_dorsalis","Bovidae","Ungulate"
"45","Cephalophus_leucogaster","Bovidae","Ungulate"
"46","Philantomba_maxwellii","Bovidae","Ungulate"
"47","Philantomba_monticola","Bovidae","Ungulate"
"48","Cephalophus_niger","Bovidae","Ungulate"
"49","Cephalophus_nigrifrons","Bovidae","Ungulate"
"50","Cephalophus_ogilbyi","Bovidae","Ungulate"
"51","Cephalophus_rufilatus","Bovidae","Ungulate"
"52","Cephalophus_silvicultor","Bovidae","Ungulate"
"53","Ceratogymna_atrata","Bucerotidae","Bird"
"54","Ceratogymna_elata","Bucerotidae","Bird"
"55","Cercocebus_agilis","Cercopithecidae","Monkey"
"56","Cercocebus_atys","Cercopithecidae","Monkey"
"57","Lophocebus_albigena","Cercopithecidae","Monkey"
"58","Cercocebus_torquatus","Cercopithecidae","Monkey"
"59","Cercopithecus_ascanius","Cercopithecidae","Monkey"
"60","Cercopithecus_solatus","Cercopithecidae","Monkey"
"61","Cercopithecus_campbelli","Cercopithecidae","Monkey"
"62","Cercopithecus_cephus","Cercopithecidae","Monkey"
"63","Cercopithecus_diana","Cercopithecidae","Monkey"
"64","Cercopithecus_erythrotis","Cercopithecidae","Monkey"
"65","Cercopithecus_lhoesti","Cercopithecidae","Monkey"
"66","Cercopithecus_mona","Cercopithecidae","Monkey"
"67","Cercopithecus_neglectus","Cercopithecidae","Monkey"
"68","Cercopithecus_nictitans","Cercopithecidae","Monkey"
"69","Cercopithecus_petaurista","Cercopithecidae","Monkey"
"70","Cercopithecus_pogonias","Cercopithecidae","Monkey"
"71","Chlorocebus_tantalus","Cercopithecidae","Monkey"
"72","Chlorocichla_falkensteini","Pycnonotidae","Bird"
"73","Chlorocichla_laetissima","Pycnonotidae","Bird"
"74","Chlorocichla_simplex","Pycnonotidae","Bird"
"75","Civettictis_civetta","Viverridae","Carnivore"
"76","Colius_striatus","Coliidae","Bird"
"77","Colobus_angolensis","Cercopithecidae","Monkey"
"78","Piliocolobus_temmincki","Cercopithecidae","Monkey"
"79","Piliocolobus_tholloni","Cercopithecidae","Monkey"
"80","Piliocolobus_tephrosceles","Cercopithecidae","Monkey"
"81","Colobus_guereza","Cercopithecidae","Monkey"
"82","Colobus_polykomos","Cercopithecidae","Monkey"
"83","Colobus_satanas","Cercopithecidae","Monkey"
"84","Colobus_vellerosus","Cercopithecidae","Monkey"
"85","Columba_arquatrix","Columbidae","Bird"
"86","Columba_iriditorques","Columbidae","Bird"
