DispoCode,Code,Succession,Elephant,VillDist,RoadDist,ParkDist,Park,Succ2,Temp,Prec,PrecDryQt,Elev,SoilPCA1,SoilPCA2
ACDG_P015,DOU_25,Secondaire,Active,2.672220681,46.78941171,64.08122425,0,Sec,25,148.8,0.3,203,0.108533665,1.365842797
ACDG_P016,DOU_26,Primaire,Active,20.61875778,66.60677458,49.91939587,0,Prm,23.3,158,0.4,377,0.108533665,1.365842797
ACDG_P041,MIV_20,Secondaire,Active,4.674063231,3.489027993,13.35371509,0,Exp,24.8,166,0.9,133,0.108533665,1.365842797
ACDG_P052,TCH_04,Exploitee,Active,23.20882695,62.64535954,33.39127026,0,Exp,24.5,151.6,0.4,256,0.108533665,1.365842797
ACDG_P053,TCH_05,Exploitee,Active,20.08061576,60.42937453,30.11273591,0,Exp,24.7,152,0.4,187,0.108533665,1.365842797
ACDG_P055,TCH_27,Primaire,Pas d'indice,17.64155854,37.34862267,20.16472256,0,Exp,24.6,158.3,0.6,164,0.108533665,1.365842797
CAFI_P001,AAC_414,Secondaire,Ancienne piste/pas d'activite,14.16080107,20.85693753,19.92517534,0,Exp,25.7,263.7,4.7,63,0.221918794,1.137765611
CAFI_P002,ABA_042,Secondaire,Ancienne piste/pas d'activite,0.978604551,3.054976837,72.21376229,0,Sec,23.4,177.4,19.1,647,0.247116504,-1.05396485
CAFI_P003,ABA_369,Exploitee,Active,4.960511521,10.41182112,13.74075693,0,Exp,26.1,245.4,3.9,87,0.221918794,1.137765611
CAFI_P005,ABO_309,Secondaire,Pas d'indice,14.92023835,47.30599557,99.94022633,0,Sec,24.4,173.1,8.6,434,0.221918794,1.137765611
CAFI_P006,ABO_441,Primaire,Ancienne piste/pas d'activite,4.072259868,18.02282863,42.88794364,0,Prm,23.9,163.4,11.5,499,-0.092556036,-1.35964361
CAFI_P007,ABO_442,Primaire,Ancienne piste/pas d'activite,3.924377347,18.61647253,41.7758335,0,Prm,23.9,163.4,11.5,498,-0.092556036,-1.35964361
CAFI_P008,ABZ_045,Secondaire,Pas d'indice,1.523558725,4.392700697,94.01228599,0,Sec,23.9,168.8,16.9,587,0.247116504,-1.05396485
CAFI_P009,AKO_418,Secondaire,Active,11.09071556,87.09287666,15.7967902,0,Exp,22.3,234.7,9.6,636,0.108533665,1.365842797
CAFI_P010,AKO_419,Secondaire,Active,3.364637301,82.15182135,11.11980379,0,Exp,22.4,233.7,8.7,616,0.108533665,1.365842797
CAFI_P011,AMO_307,Secondaire,Pas d'indice,0.483186304,12.71941891,92.78784608,0,Sec,24.8,168.6,6.3,374,0.221918794,1.137765611
CAFI_P012,ASC_336,Secondaire,Pas d'indice,11.62427257,11.93040183,12.92372845,0,Exp,25.7,156.4,2.8,264,0.221918794,1.137765611
CAFI_P013,AZO_046,Secondaire,Pas d'indice,2.426526521,25.82778082,59.46809222,0,Exp,23.8,170.8,18.3,604,0.247116504,-1.05396485
CAFI_P014,BBE_047,Secondaire,Pas d'indice,2.397170709,14.5194147,70.88066156,0,Sec,23.9,171.6,18.3,602,0.247116504,-1.05396485
CAFI_P015,BEE_039,Secondaire,Pas d'indice,5.17451831,21.73489111,101.3502712,0,Exp,23.3,183,18,639,0.247116504,-1.05396485
CAFI_P016,BIL_129,Exploitee,Pas d'indice,10.23577311,7.621083333,63.09981428,0,Exp,24.7,195.6,1.6,402,-10.10242427,-2.097610986
CAFI_P017,BOU_173,Secondaire,Active,3.253929291,15.71076973,49.38970038,0,Exp,26,202,2.3,119,7.3545893,-2.07527607
CAFI_P020,EBI_440,Primaire,Active,18.81437328,21.60375036,26.90841832,0,Prm,23.9,164,10.4,518,-0.092556036,-1.35964361
CAFI_P021,EDO_420,Exploitee,Active,4.095871019,71.94822424,14.52989182,0,Exp,22.2,225.6,8.7,639,0.108533665,1.365842797
CAFI_P022,EGO_127,Primaire,Ancienne piste/pas d'activite,5.252571386,4.287148426,45.90839188,0,Prm,23.8,203.6,1.8,552,0.011014959,-1.687869965
CAFI_P023,ESA_037,Secondaire,Pas d'indice,7.015818031,6.749706339,89.37547369,0,Exp,23.4,177.2,10.7,577,-0.092556036,-1.35964361
CAFI_P025,ESB_044,Secondaire,Pas d'indice,12.29699696,39.46099084,35.91344847,0,Sec,23.6,170.3,20.2,627,0.247116504,-1.05396485
CAFI_P026,ILE_030,Secondaire,Ancienne piste/pas d'activite,4.357954763,38.78314164,32.9047258,0,Sec,25.1,180,0.8,260,0.221918794,1.137765611
CAFI_P027,IWA_185,Secondaire,Active,1.653626815,21.75928259,35.34326512,0,Exp,24,190.4,2.6,525,0.011014959,-1.687869965
CAFI_P028,LOP_335,Secondaire,Active,15.27785381,13.40050991,0,1,Exp,24.6,175.1,3.1,457,0.108533665,1.365842797
CAFI_P029,MAK_125,Exploitee,Ancienne piste/pas d'activite,8.294971784,7.556654401,48.2492455,0,Exp,25.9,199.4,1.5,217,-0.583789339,0.869472822
CAFI_P030,MAK_131,Primaire,Pas d'indice,5.108894354,14.46352846,58.28607118,0,Prm,24.1,195.8,1.5,519,-10.10242427,-2.097610986
CAFI_P032,MAN_116,Secondaire,Active,21.70870319,56.58370101,5.843771939,0,Sec,25.6,198.7,1.7,158,-10.10242427,-2.097610986
CAFI_P033,MAN_238,Secondaire,Active,1.670959439,27.47334045,34.60836811,0,Exp,24.2,184.7,2.7,473,0.011014959,-1.687869965
CAFI_P034,MBA_302,Primaire,Active,5.996614717,5.995539502,111.3053887,0,Prm,24.9,170.4,5.8,342,0.221918794,1.137765611
CAFI_P035,MBC_031,Secondaire,Ancienne piste/pas d'activite,9.119180488,50.79446476,19.83676982,0,Sec,25.1,181.4,0.9,225,-10.10242427,-2.097610986
CAFI_P036,MBO_035,Exploitee,Active,8.199947579,11.41795837,34.9031293,0,Exp,25.6,205.7,2,218,7.3545893,-2.07527607
CAFI_P039,MEB_040,Secondaire,Ancienne piste/pas d'activite,4.124894282,9.426895803,67.65809586,0,Sec,23.7,174.6,20.2,622,0.247116504,-1.05396485
